Transcript stable ID,Transcript stable ID version,CDS Length,Gene name
ENST00000707582,ENST00000707582.1,,ELOCP4
ENST00000707583,ENST00000707583.1,,RBMY1A3P
ENST00000707584,ENST00000707584.1,,
ENST00000707585,ENST00000707585.1,,TTTY20
ENST00000707588,ENST00000707588.1,,FAM197Y8
ENST00000707589,ENST00000707589.1,927,TSPY8
ENST00000707594,ENST00000707594.1,,FAM197Y7
ENST00000707596,ENST00000707596.1,,
ENST00000707597,ENST00000707597.1,945,TSPY4
ENST00000707602,ENST00000707602.1,945,TSPY9
ENST00000707603,ENST00000707603.1,,FAM197Y2
ENST00000707604,ENST00000707604.1,,FAM197Y4
ENST00000707605,ENST00000707605.1,,FAM197Y4
ENST00000338981,ENST00000338981.7,7668,USP9Y
ENST00000303804,ENST00000303804.5,444,PRY2
ENST00000429463,ENST00000429463.1,,TSPY25P
ENST00000439805,ENST00000439805.1,,
ENST00000449148,ENST00000449148.1,,OFD1P8Y
ENST00000458209,ENST00000458209.1,,RNF19BPY
ENST00000509611,ENST00000509611.1,,
ENST00000440136,ENST00000440136.1,,TSPY23P
ENST00000422712,ENST00000422712.1,,TUBB1P2
ENST00000446466,ENST00000446466.1,,DUX4L31
ENST00000338964,ENST00000338964.6,,TSPY13P
ENST00000619838,ENST00000619838.1,,
ENST00000605584,ENST00000605584.1,,ACTR3BP1
ENST00000438550,ENST00000438550.1,,RPS24P1
ENST00000250776,ENST00000250776.5,,TTTY1B
ENST00000422174,ENST00000422174.1,,RCC2P2
ENST00000451913,ENST00000451913.1,,ZNF736P8Y
ENST00000447105,ENST00000447105.1,,RBMY2OP
ENST00000361365,ENST00000361365.7,435,EIF1AY
ENST00000418461,ENST00000418461.1,,TSPY19P
ENST00000331070,ENST00000331070.8,321,BPY2
ENST00000455231,ENST00000455231.3,,MTND1P12
ENST00000412493,ENST00000412493.1,,STSP1
ENST00000449963,ENST00000449963.1,,
ENST00000642532,ENST00000642532.1,,ELOCP5
ENST00000643054,ENST00000643054.1,,CDY10P
ENST00000431853,ENST00000431853.1,,CTBP2P1
ENST00000647527,ENST00000647527.1,,USP9YP3
ENST00000417434,ENST00000417434.1,,MTND6P1
ENST00000644360,ENST00000644360.1,,USP9YP8
ENST00000430307,ENST00000430307.1,,DLGAP5P1
ENST00000645951,ENST00000645951.1,,CDY11P
ENST00000425026,ENST00000425026.1,,CDC27P2
ENST00000646767,ENST00000646767.1,,OFD1P16Y
ENST00000455570,ENST00000455570.5,,TTTY8B
ENST00000603738,ENST00000603738.1,,PABPC1P5
ENST00000427496,ENST00000427496.1,,TSPY22P
ENST00000452257,ENST00000452257.1,,RCC2P1
ENST00000434773,ENST00000434773.1,,SHROOM2P1
ENST00000417072,ENST00000417072.1,,TTTY2
ENST00000426526,ENST00000426526.1,,
ENST00000438677,ENST00000438677.2,,TTTY18
ENST00000652216,ENST00000652216.1,,
ENST00000605663,ENST00000605663.1,,
ENST00000553347,ENST00000553347.1,,DUX4L18
ENST00000449843,ENST00000449843.1,,TSPY16P
ENST00000425857,ENST00000425857.1,,
ENST00000651678,ENST00000651678.1,,
ENST00000418671,ENST00000418671.1,,RBMY2GP
ENST00000442535,ENST00000442535.1,,ZNF736P11Y
ENST00000417699,ENST00000417699.1,,OFD1P9Y
ENST00000445125,ENST00000445125.2,,
ENST00000422208,ENST00000422208.1,,BPY2DP
ENST00000425544,ENST00000425544.1,,RBMY2JP
ENST00000614446,ENST00000614446.1,,CHEK2P1
ENST00000426129,ENST00000426129.1,,
ENST00000453474,ENST00000453474.1,,RBMY2UP
ENST00000458667,ENST00000458667.1,,FAM224B
ENST00000450781,ENST00000450781.1,,ZNF886P
ENST00000439309,ENST00000439309.1,,ELOCP8
ENST00000620993,ENST00000620993.1,,OFD1P16Y
ENST00000558356,ENST00000558356.1,,TTTY25P
ENST00000421178,ENST00000421178.2,,FAM197Y1
ENST00000614700,ENST00000614700.1,,
ENST00000419158,ENST00000419158.1,,
ENST00000421118,ENST00000421118.1,,ASS1P6
ENST00000616231,ENST00000616231.1,,SNX18P1Y
ENST00000434454,ENST00000434454.1,,RBMY2NP
ENST00000250805,ENST00000250805.5,,TTTY1
ENST00000426983,ENST00000426983.1,,
ENST00000430517,ENST00000430517.1,,MED14P1
ENST00000453726,ENST00000453726.1,,HSFY5P
ENST00000420174,ENST00000420174.1,,ZNF885P
ENST00000398758,ENST00000398758.2,,ARSFP1
ENST00000426062,ENST00000426062.2,,
ENST00000425158,ENST00000425158.1,,ZNF736P7Y
ENST00000451854,ENST00000451854.1,,SURF6P1
ENST00000381172,ENST00000381172.3,,XGY1
ENST00000619901,ENST00000619901.1,,
ENST00000650970,ENST00000650970.1,,
ENST00000618763,ENST00000618763.1,,ANKRD20A6P
ENST00000445200,ENST00000445200.2,,
ENST00000621243,ENST00000621243.1,,
ENST00000426035,ENST00000426035.1,,TTTY8
ENST00000418221,ENST00000418221.1,,RBMY2KP
ENST00000433481,ENST00000433481.1,,TSPY21P
ENST00000453955,ENST00000453955.1,,TTTY19
ENST00000450329,ENST00000450329.1,,TSPY17P
ENST00000436568,ENST00000436568.1,,TTTY4
ENST00000434308,ENST00000434308.1,,
ENST00000457163,ENST00000457163.1,,TSPY15P
ENST00000650665,ENST00000650665.1,,TTTY22
ENST00000442607,ENST00000442607.1,,TSPY11P
ENST00000612764,ENST00000612764.1,,
ENST00000420610,ENST00000420610.1,,MXRA5Y
ENST00000555130,ENST00000555130.1,,DUX4L16
ENST00000633619,ENST00000633619.1,,
ENST00000428845,ENST00000428845.6,927,TSPY10
ENST00000454315,ENST00000454315.1,,MTCYBP1
ENST00000604370,ENST00000604370.1,,
ENST00000444617,ENST00000444617.1,,USP9YP17
ENST00000416110,ENST00000416110.1,,TTTY17A
ENST00000455855,ENST00000455855.1,,AGPAT5P1
ENST00000405035,ENST00000405035.1,,
ENST00000450910,ENST00000450910.1,,TSPY20P
ENST00000421205,ENST00000421205.2,,FAM41AY1
ENST00000253848,ENST00000253848.3,,TTTY6B
ENST00000442090,ENST00000442090.1,,ELOCP15
ENST00000622087,ENST00000622087.1,,
ENST00000432201,ENST00000432201.1,,TRIM60P3Y
ENST00000445453,ENST00000445453.1,,MTND1P1
ENST00000652050,ENST00000652050.1,,LINC00280
ENST00000616477,ENST00000616477.1,,
ENST00000404428,ENST00000404428.1,,PRRC2CP1
ENST00000403990,ENST00000403990.2,,ZNF736P10Y
ENST00000613408,ENST00000613408.1,,
ENST00000613297,ENST00000613297.1,,
ENST00000451548,ENST00000451548.6,927,TSPY1
ENST00000440679,ENST00000440679.1,,CDY12P
ENST00000635343,ENST00000635343.1,,
ENST00000452458,ENST00000452458.1,,MTND2P3
ENST00000445813,ENST00000445813.1,,CDY13P
ENST00000423480,ENST00000423480.1,,RBMY1KP
ENST00000603467,ENST00000603467.1,,
ENST00000421353,ENST00000421353.2,,TTTY21B
ENST00000435111,ENST00000435111.1,,
ENST00000432613,ENST00000432613.1,,
ENST00000434179,ENST00000434179.1,,
ENST00000651708,ENST00000651708.1,,
ENST00000443820,ENST00000443820.2,,ARSDP1
ENST00000400581,ENST00000400581.2,,TTTY5
ENST00000418290,ENST00000418290.1,,CDY4P
ENST00000446299,ENST00000446299.5,,
ENST00000639310,ENST00000639310.1,930,OR4C12
ENST00000639504,ENST00000639504.1,,OR4C48P
ENST00000710319,ENST00000710319.1,921,OR4C45
ENST00000639236,ENST00000639236.1,,OR4C49P
ENST00000382680,ENST00000382680.5,1491,RBMY1D
ENST00000424230,ENST00000424230.1,,RBMY2WP
ENST00000434374,ENST00000434374.1,,USP9YP24
ENST00000414540,ENST00000414540.1,,
ENST00000670518,ENST00000670518.1,,TTTY10
ENST00000439651,ENST00000439651.1,,UBE2V1P3
ENST00000435433,ENST00000435433.1,,FAM8A4P
ENST00000426699,ENST00000426699.1,,
ENST00000422002,ENST00000422002.1,,
ENST00000436338,ENST00000436338.1,,TRIM60P8Y
ENST00000428342,ENST00000428342.1,,MED13P1
ENST00000448518,ENST00000448518.1,,TSPY6P
ENST00000423569,ENST00000423569.1,,CYCSP46
ENST00000517091,ENST00000517091.1,,RNU6-303P
ENST00000515957,ENST00000515957.1,,RNA5SP518
ENST00000516880,ENST00000516880.1,,
ENST00000488394,ENST00000488394.3,,RN7SL702P
ENST00000516506,ENST00000516506.1,,RNA5SP520
ENST00000516203,ENST00000516203.1,,RNA5SP521
ENST00000615048,ENST00000615048.1,,
ENST00000516364,ENST00000516364.1,,RNU6-109P
ENST00000515896,ENST00000515896.1,,RNA5-8SP6
ENST00000516480,ENST00000516480.1,,RNA5SP519
ENST00000516514,ENST00000516514.1,,RNU6-184P
ENST00000304790,ENST00000304790.3,1206,HSFY2
ENST00000432046,ENST00000432046.1,,GPM6BP2
ENST00000504503,ENST00000504503.1,,USP9YP2
ENST00000428070,ENST00000428070.1,,ELOCP14
ENST00000514804,ENST00000514804.1,,PRYP6
ENST00000432915,ENST00000432915.1,,XKRYP2
ENST00000454868,ENST00000454868.1,,USP9YP10
ENST00000435142,ENST00000435142.1,,USP9YP28
ENST00000516161,ENST00000516161.1,,RNU1-41P
ENST00000454643,ENST00000454643.1,,OFD1P7Y
ENST00000407745,ENST00000407745.1,,MTCYBP2
ENST00000403487,ENST00000403487.2,,ZNF839P1
ENST00000382840,ENST00000382840.3,,CD24P4
ENST00000516957,ENST00000516957.1,,RNU6-255P
ENST00000615809,ENST00000615809.1,,
ENST00000431768,ENST00000431768.2,,GAPDHP19
ENST00000435012,ENST00000435012.1,,CLUHP1
ENST00000445421,ENST00000445421.1,,TAF9P1
ENST00000618226,ENST00000618226.1,,
ENST00000411487,ENST00000411487.1,,CDY5P
ENST00000425789,ENST00000425789.1,,ELOCP36
ENST00000412474,ENST00000412474.1,,PRYP1
ENST00000415776,ENST00000415776.1,,ACTG1P2
ENST00000455085,ENST00000455085.1,,USP9YP23
ENST00000418455,ENST00000418455.1,,USP9YP27
ENST00000516704,ENST00000516704.1,,RNU1-128P
ENST00000443200,ENST00000443200.1,,TRAPPC2P3
ENST00000411756,ENST00000411756.1,,OFD1P1Y
ENST00000429066,ENST00000429066.1,,ELOCP6
ENST00000413320,ENST00000413320.1,,CDY6P
ENST00000436723,ENST00000436723.1,,USP9YP7
ENST00000413550,ENST00000413550.1,,USP9YP6
ENST00000429883,ENST00000429883.1,,CDY7P
ENST00000453983,ENST00000453983.1,,USP9YP34
ENST00000452432,ENST00000452432.1,,USP9YP32
ENST00000428380,ENST00000428380.1,,CDY8P
ENST00000458706,ENST00000458706.1,,ELOCP12
ENST00000440676,ENST00000440676.1,,TRAPPC2P8
ENST00000442391,ENST00000442391.1,,USP9YP15
ENST00000516357,ENST00000516357.1,,RNU1-95P
ENST00000430287,ENST00000430287.1,,USP9YP16
ENST00000425411,ENST00000425411.1,,ACTG1P11
ENST00000416652,ENST00000416652.1,,PRYP2
ENST00000436067,ENST00000436067.1,,ELOCP26
ENST00000451397,ENST00000451397.1,,CDY9P
ENST00000454958,ENST00000454958.1,,TAF9P2
ENST00000426660,ENST00000426660.1,,CLUHP2
ENST00000419557,ENST00000419557.1,,FAM224A
ENST00000614353,ENST00000614353.1,,
ENST00000516144,ENST00000516144.1,,RNA5SP522
ENST00000516858,ENST00000516858.1,,RNA5SP523
ENST00000503144,ENST00000503144.1,,TUBB1P1
ENST00000458627,ENST00000458627.2,,FAM41AY2
ENST00000443934,ENST00000443934.1,,ELOCP13
ENST00000455273,ENST00000455273.1,,OFD1P4Y
ENST00000430663,ENST00000430663.2,,USP9YP14
ENST00000516400,ENST00000516400.1,,RNU1-48P
ENST00000511770,ENST00000511770.1,,USP9YP5
ENST00000510613,ENST00000510613.1,,
ENST00000423438,ENST00000423438.1,,XKRYP1
ENST00000451909,ENST00000451909.1,,PRYP5
ENST00000439968,ENST00000439968.1,,ELOCP7
ENST00000513521,ENST00000513521.1,,USP9YP1
ENST00000446387,ENST00000446387.1,,GPM6BP1
ENST00000433794,ENST00000433794.5,,TTTY9B
ENST00000415230,ENST00000415230.1,,RAB9AP4
ENST00000509650,ENST00000509650.1,,TRAPPC2P7
ENST00000651734,ENST00000651734.1,,TTTY14
ENST00000586015,ENST00000586015.1,,
ENST00000566193,ENST00000566193.1,,
ENST00000652994,ENST00000652994.1,,
ENST00000644431,ENST00000644431.1,,MIR3649
ENST00000645126,ENST00000645126.2,1161,ADIPOR2
ENST00000645340,ENST00000645340.1,,
ENST00000650468,ENST00000650468.1,,
ENST00000645855,ENST00000645855.1,,RPS4XP14
ENST00000644981,ENST00000644981.1,3465,CACNA2D4
ENST00000663034,ENST00000663034.1,,
ENST00000643383,ENST00000643383.1,1113,LRTM2
ENST00000317961,ENST00000317961.9,4620,KDM5D
ENST00000646059,ENST00000646059.1,,
ENST00000643739,ENST00000643739.1,,LINC00940
ENST00000647122,ENST00000647122.2,1854,DCP1B
ENST00000645647,ENST00000645647.1,,
ENST00000646549,ENST00000646549.1,,CACNA1C-IT1
ENST00000644565,ENST00000644565.1,,
ENST00000668748,ENST00000668748.1,,CACNA1C-AS4
ENST00000646990,ENST00000646990.1,,CACNA1C-IT3
ENST00000650345,ENST00000650345.1,,
ENST00000648849,ENST00000648849.1,,
ENST00000307393,ENST00000307393.3,1206,HSFY1
ENST00000646365,ENST00000646365.1,,CACNA1C-AS3
ENST00000645902,ENST00000645902.1,,
ENST00000646616,ENST00000646616.1,,CACNA1C-AS2
ENST00000644973,ENST00000644973.1,,CACNA1C-AS1
ENST00000321217,ENST00000321217.5,558,TGIF2LY
ENST00000710581,ENST00000710581.1,6756,CACNA1C
ENST00000303766,ENST00000303766.12,1491,RBMY1F
ENST00000250838,ENST00000250838.6,1626,CDY2A
ENST00000428264,ENST00000428264.1,,ZNF736P3Y
ENST00000438459,ENST00000438459.1,,TRIM60P9Y
ENST00000533551,ENST00000533551.5,,PRKY
ENST00000516824,ENST00000516824.1,,RN7SKP282
ENST00000516187,ENST00000516187.1,,Y_RNA
ENST00000516346,ENST00000516346.1,,RNU6-941P
ENST00000516663,ENST00000516663.1,,RNU6-521P
ENST00000413200,ENST00000413200.1,,SRIP3
ENST00000610687,ENST00000610687.1,,
ENST00000433995,ENST00000433995.1,,GOT2P5
ENST00000431631,ENST00000431631.1,,ATP5PFP1
ENST00000620503,ENST00000620503.1,,
ENST00000425589,ENST00000425589.1,,TRIM60P10Y
ENST00000416040,ENST00000416040.1,,ZNF736P2Y
ENST00000445313,ENST00000445313.1,,TRIM60P11Y
ENST00000616864,ENST00000616864.1,,
ENST00000440402,ENST00000440402.1,,ZNF736P1Y
ENST00000618453,ENST00000618453.1,,
ENST00000451173,ENST00000451173.1,,ZNF736P5Y
ENST00000382287,ENST00000382287.5,321,BPY2C
ENST00000456123,ENST00000456123.1,,TTTY4C
ENST00000682740,ENST00000682740.1,2172,DAZ4
ENST00000382867,ENST00000382867.4,1626,CDY2B
ENST00000516032,ENST00000516032.1,,RNU6-1334P
ENST00000383070,ENST00000383070.2,615,SRY
ENST00000454281,ENST00000454281.1,,RNASEH2CP1
ENST00000430735,ENST00000430735.1,,TOMM22P2
ENST00000651710,ENST00000651710.1,,
ENST00000250784,ENST00000250784.13,792,RPS4Y1
ENST00000414182,ENST00000414182.2,,NAP1L1P2
ENST00000611750,ENST00000611750.1,,
ENST00000155093,ENST00000155093.8,2406,ZFY
ENST00000417305,ENST00000417305.1,,ZFY-AS1
ENST00000414667,ENST00000414667.1,,EEF1A1P41
ENST00000400275,ENST00000400275.2,,PSMA6P1
ENST00000446621,ENST00000446621.1,,SFPQP1
ENST00000428060,ENST00000428060.1,,DPPA2P1
ENST00000630186,ENST00000630186.1,,SERTAD4-AS1
ENST00000630425,ENST00000630425.2,1071,SERTAD4
ENST00000628714,ENST00000628714.1,,ST13P19
ENST00000626840,ENST00000626840.1,,
ENST00000628693,ENST00000628693.2,1485,HHAT
ENST00000668313,ENST00000668313.1,,
ENST00000629478,ENST00000629478.1,,RNU5A-8P
ENST00000666284,ENST00000666284.1,,
ENST00000630644,ENST00000630644.1,,BPNT2P1
ENST00000336079,ENST00000336079.8,1983,DDX3Y
ENST00000412870,ENST00000412870.1,,CASKP1
ENST00000545955,ENST00000545955.6,4335,UTY
ENST00000284856,ENST00000284856.4,135,TMSB4Y
ENST00000250825,ENST00000250825.5,378,VCY
ENST00000382365,ENST00000382365.7,1317,DAZ3
ENST00000667850,ENST00000667850.1,,
ENST00000644534,ENST00000644534.1,,BRD7P1
ENST00000642366,ENST00000642366.1,,
ENST00000646994,ENST00000646994.1,,RN7SKP205
ENST00000644525,ENST00000644525.1,,
ENST00000650183,ENST00000650183.1,,
ENST00000644489,ENST00000644489.1,,LINC00596
ENST00000664232,ENST00000664232.1,,DHRS4-AS1
ENST00000654291,ENST00000654291.1,,
ENST00000405239,ENST00000405239.6,2235,DAZ1
ENST00000644898,ENST00000644898.1,,
ENST00000647295,ENST00000647295.1,,DHRS4L1
ENST00000646442,ENST00000646442.2,4119,CARMIL3
ENST00000416956,ENST00000416956.1,,PPP1R12BP2
ENST00000516116,ENST00000516116.1,,SNORA70
ENST00000662956,ENST00000662956.1,,
ENST00000422655,ENST00000422655.1,,REREP1Y
ENST00000444350,ENST00000444350.1,,
ENST00000448575,ENST00000448575.5,,RBMY2CP
ENST00000444014,ENST00000444014.1,,
ENST00000651267,ENST00000651267.2,579,AMELY
ENST00000645359,ENST00000645359.1,1839,CPNE6
ENST00000646526,ENST00000646526.3,714,NRL
ENST00000645217,ENST00000645217.2,1923,PCK2
ENST00000646568,ENST00000646568.3,1641,DCAF11
ENST00000383032,ENST00000383032.6,1569,TBL1Y
ENST00000434155,ENST00000434155.1,,GPR143P
ENST00000643336,ENST00000643336.1,850,
ENST00000644407,ENST00000644407.1,879,FITM1
ENST00000646132,ENST00000646132.1,753,PSME1
ENST00000642147,ENST00000642147.1,627,EMC9
ENST00000642467,ENST00000642467.1,,
ENST00000644404,ENST00000644404.1,765,PSME2
ENST00000642548,ENST00000642548.1,,MIR7703
ENST00000647495,ENST00000647495.2,3219,RNF31
ENST00000382440,ENST00000382440.6,1965,DAZ2
